"Date","Record Number","Record Type","Application Name","Status","Description",
"09/03/2020","CE-0512047","Complaint","Building-Unpermitted Work","New","Online - SMR""Tenants at Jewelry Exchange building  are sleeping overnight in office spaces.  I Witnessed Suite 706, and Suite 822 ( couches, clothing, personal items ) during the annual fire inspection.  BuildingManager is aware tenants using office spaces as living quarters.   There aresigns of un-permitted construction throughout the 8 story high rise.  (Electrical, Mechanical Hood Systems ).   Removal of a door ( Southeast cornerof building leading to parking lot ).  Please contact Deputy Fire Marshal Robert Marshall to coordinate a meeting with code enforcement.""",
"09/03/2020","CE-0512046","Complaint","Zoning-Miscellaneous","New","Online-RKL-Has landscaped “parkway” infront of his house to create a major hazard. Lots of large palms, bushes, And birds of paradise with a lot of filler in between. Impossible for pedestrians to see or be seen when crossing the street from this corner, and impossible to cross street from opposite direction and access sidewalk by crossing parkway. I was almost hit by a car today crossing here, and since this has occurred multiple times due to this landscaping, I am requesting something be done about it. These plants also prevent anybody parking infront of this parkway from getting out of their passenger side door due to placement of large plants. Owner has even taken to blocking portion of sidewalk that runs from curb, across parkway, to main sidewalk by training a palm to grow on top of it, blocking the sidewalk.   This needs addressed for obvious safety reasons. I am all for the beautification and upkeep of parkways, but in a manner that doesn’t block citizens from doing simple things like crossing the street safely or getting out of their vehicle. I was under the impression you needed a permit to develop parkways, and clearly no one would approve this. The intentions of the homeowner are clear. He has landscaped the parkway like this to deter people from parking in front of his house or crossing the street in front of his house, even going so far to cover up public sidewalks. Please address this.",
"09/03/2020","CE-0512045","Complaint","Zoning-Sidewalk Cafe","New","Phone Referral from AXC-Sidewalk Cafe",
"09/03/2020","CE-0512044","Complaint","Zoning-Sidewalk Cafe","New","Email Referral-RKL-Sidewalk Cafe",
"09/03/2020","CE-0512043","Complaint","Zoning-Sidewalk Cafe","New","Email Referral-RKL-Outdoor Deck",
"09/03/2020","CE-0512042","Complaint","Zoning-Sidewalk Cafe","New","Email Referral-RKL-operating restaurant in the PROW",
"09/02/2020","CE-0512041","Complaint","Building-Infestation","New","Online-RKL-Hotel room #239 had bed bugs during my stay Saturday, August, 22 2020.  I sustained 40+ bites and informed Hotel Management about the bugs (bringing them a couple and snapping some extra pictures for myself) Sunday August, 23.  I was told that a daytime manager that handles bed bugs(Brian?) would call me that day to refund my stay.  It is now 9/2/2020 and I have not heard from the property.  I dont think that they did anything and I am terrified that other guests are getting bit and being ignored.  PLEASE HELP!!!",
"09/02/2020","CE-0512040","Complaint","Building-Mold","New","Online-RKL-PTS only shows 4741, but violation is at 4745.  Mold in closet and on suitcase and other issues.",
"09/02/2020","CE-0512039","Complaint","Building-Miscellaneous","New","Online - SMR""This is a duplex. There is a porch on the front of the upstairs unit. The decking for the porch is sagging several feet toward the ground. Residents use the porch for seating. The potential for bodily harm, either to the residents or to passersby, is great.""",
"09/02/2020","CE-0512038","Complaint","Zoning-Unpermitted Business (Residential Zone)","New","Online - SMR""Working a RV trailer inches from our property line and making loud and sustained noises.  Parking in front of the driveway. Both obstructing our view when exiting our property to Crystal Drive. This creates a dangerous situation. They Working on the Trailer in the afternoon.""",
"09/02/2020","CE-0512037","Complaint","Building-Unpermitted Work","New","Online - SMR""To my knowledge, there has been multiple un-permitted buildings erected on this property, including a large ADU as well as other various construction projects to which I have not seen an inspector come signoff on.   There are at times more than 12 vehicles on the property and it isapparent there are approximately 15+ persons living on the property at various times.  This includes people living in an RV on the property which Ialso believe is a code violation.   The owners reside on premise but I do notknow their names.  They are running a janitorial business out of their house which regularly receives commercial vehicle deliveries to their location.This location is not zoned for multi-family housing.  Requesting the city perform a detailed and in-depth investigation into all and any code violations including but not limited to the following items:1) Structures built on site2) Other construction performed on site3) Vehicles parked/stored on site4) Number of persons residing on site5) Living in RVThank you.""",
"09/02/2020","CE-0512036","Complaint","Building-Infestation","Active Investigation","Online-RKL-Uninhabitable living conditions.  Excess amount of rats and roaches living in home, eating through electrical wires. Running about the property while trying to clear out. 3 neighboring complaints and concerns regarding the condition.  I have spoken to the owner Michael Jacobelly and told him it needed to be resolved. He called LLoyd Pest control but issue issevere and needs immediate remediation.   No clearance received from company.   Mobile home property owned by resident however they pay site rent to the park.",
"09/02/2020","CE-0512035","Complaint","Zoning-Storage/Hoarding","New","Online - SMR""This property has become a junk yard,scrap ,storage,hotel, We know this property it's a Vacant lot, People are living in this property with no services,people are stealing water from us, Trash it's all around the adjacent streets, Cars,motorhomes,are being dismantled, We're tired and contacted the city of chula vista they claim it belongs to the city of san diego.""",
"09/02/2020","CE-0512034","Complaint","Zoning-Abandoned Properties","New","Online-RKL-This property was purchased approximately in April or June.  It has remained abandoned and dirt and leaves are accumulating and the home looks deserted.  It starting to look like a fire hazard with all the accumulation.  My concern, will this become an attractive nuisance.",
"09/02/2020","CE-0512033","Complaint","Zoning-Storage/Hoarding","New","Online - SMR -EMB ""Excessive hoarding in all yards, homeless and transients living in motorhomes and vehicles on driveway and throughout the property. Egress issues in the home.""",
"09/02/2020","CE-0512032","Complaint","Building-Unpermitted Work","New","Online-RKL-Citizen complaint, call in. New owners converting lower level garages into dwelling units, constructing unpermitted retaining walls in front yard. No active permits or submittals.",
"09/02/2020","CE-0512031","Complaint","Noise-Barking Dogs","New","Online-RKL-One large dog and 2 small dogs bark constantly when owners are not home (which is a lot).",
"09/02/2020","CE-0512030","Complaint","Noise-Barking Dogs","Closed -Alternative Compliance","Online-RKL-Excessive barking.  I have visually confirmed two dogs in their backyard. At times, they continuously bark for 30 minutes straight throughout the day and night.  Small brown chihuahua and black shepherd.Most notably the barking occurs at 1:00 am and between 3:00 and 4:00 am.",
"09/02/2020","CE-0512029","Complaint","Building-Mold","New","Online-RKL-have not done any of the repairs since I moved in that I asked for and that was promised to me move-in day was March 5th 2019even after move-in date promise to fix everything once got some money in a few weeks which has not even been done yet only thing that has been replaced as the refrigerator my oven does not work I have no smoke detectors and carbon dioxide detector my kitchen sink is leaking and has fungus with mold my bathroom has a water leak in the bathroom ceiling I have a hot water heater that has stuff stocked away in it with carpet also have a lot of spiders as to get sprayed for bugs also ask for a trash can since everything else was included with utilities involved I am also getting help through a third-party federal funds through the father Joe's village program I have reported everything to case management they have not done anything to help the situation for me and my child I have no air in here I was told I could not get a heater when it was cold in the winter seasons I will be having to move soon and father Joe's will still be in my 3rd party payment and I do not want to move anywhere else if I am going to have to face the same issues that I'm facing here which is not fair I cannot even start school because of the things that I'm going through and I wanted to leave the property what's a Gunther my unit without permission not saying that to happen but it could be a possibility also the maintenance man that she said it was my maintenance man is now the owner who has never been in my unit to repair anything when I informed her to she wanted me to contact the repairman I mean maintenance man which is not my responsibility I think the code of command would be needs to contact her for any repairs and she contacts him and then contact me to let me know the time of entrance of the unit to fix all of the things that I am requesting to be fixed so I would like someone to come out here and help me on my behalf because I am not going to continue to live the way that I am living and my words are not being heard",
"09/02/2020","CE-0512028","Complaint","Building-Substandard Housing","New","Online - SMR""Bulges in my flooring all over my home and is it has been and is unsafe for my family and I to live here.its soft big bulges that smell and is spreading with black stuff around and under the tile.were getting sick in the apartment. No vendor has come to see or fix this.its been almost 3 months. This is no way to live""",
"09/02/2020","CE-0512027","Complaint","Zoning-Unpermitted Business (Non-Residential Zone)","New","Online - SMR""We have been dealing with an extremely loud new shop that opened up earlier this year at 4685 Hawley Blvd Unit B - just west of us outside both of our bedroom windows.It is an auto detailing shop, which you wouldn't think would be very loud, but they consistently have 70-90 decibel noises and, since it is so hot, we have had to open our windows this summer. We have avoided this the whole year, since the shop has started their business. They use smelly gas generators, power washers, electric wax & buffers (think a dentist drilling down your teeth for a root canal), and their means of communication is whistling, yelling, and sneezing extremely loud. They also have a porta potty right outside our window that stinks and it is baking in the sun now. They do not have a rest room for their employees and thats why they have the porta pottys. Is that even legal to not have a restroom in your office space? """,
"09/02/2020","CE-0512026","Complaint","Building-Mold","Active Investigation","Online-RKL-Water leakage has damaged greatly  my unit and there is a lot of mold growing in the unit. I am concerned because the owner is not taking care of it & it and can affect my unit. Please investigate.",
"09/02/2020","CE-0512025","Complaint","Zoning-Unpermitted Business (Residential Zone)","New","Online - SMR""Illegal restaurant within the residential neighborhood.The person does have a food handler lic but I don't no believe they applied for the appropriate permits from the City of SD""",
"09/02/2020","CE-0512024","Complaint","Zoning-Unpermitted Business (Residential Zone)","Active Investigation","Online-RKL-Unpermitted auto work in residential zone.  The noise coming from this property almost everyday is very loud and excessive. The owner  is converting a delivery  van  to a camper. He is installing a bed, sink, shower, toilet and counter top in it as far as we know from his conversations with passers bye. He is doing this in his driveway and he blocks the sidewalk .Walkers have to step into the street to pass. He has also worked  on it in the street. He does not work on it in his garage. A neighbor told him the other day that blocking the sidewalk is illegal but he continues. We cannot escape from his noise even with the windows and doors shut. We have to endure the loud noise of cutting and grinding of steel and wood, and an air wrench and hammering. He has damaged our quality of life .We have called the police several times and he still will not stop. This noise goes on from the time he is up until he goes to bed. Before working on this van he was noisily making items for sale from wood and steel in his driveway. The level and duration of this noise is stressful and unacceptable..We believe he is converting this van to sell as we have heard him in his driveway discuss the potential profit. Even though we are not near him we have to endure his loud voice when he stops everyone who walks by, to talk to them. We no longer have peace and enjoyment in our own home. The open metal box of the van, facing the street serves to amplify and direct the sound towards our house.",
"09/02/2020","CE-0512023","Complaint","Building-Miscellaneous","New","Online - SMR""There is also and extension cord run to power the pump. Using an extension cord in place of permanent wiring.""",
"09/02/2020","CE-0512022","Complaint","Noise-Barking Dogs","Closed -Alternative Compliance","Online-RKL-Even after several personal requests, the owner will not do anything to prevent his dog from barking. This goes on for 8 - 10 hours per day every day. The violation has been reported several times by several neighbors and nothing has been done, not even a response.",
"09/02/2020","CE-0512021","Complaint","Building-Substandard Housing","Active Investigation","Online - SMR""No hot water. (Please read full complaint)""",
"09/02/2020","CE-0512020","Complaint","Zoning-Lighting","Closed -Alternative Compliance","Online-RKL-Lighting Regulations Section 142.0740( c) (2),  and  (c)(5), since Covid started in March, a condo owner has been leaving on all night every night her second story, outdoor, unshielded balcony light that only shines outward on a horizontal plane into and illuminating my second story bedroom all night every night.",
"09/02/2020","CE-0512019","Complaint","Building-Unpermitted Work","New","Online - SMR""Violation of strong drainage compliance. Her (south west surface water draining from a rain water downspout directed into the ground. The property is sand and can be negatively affected with downspout water draining into the sand/ground.""",
"09/01/2020","CE-0512018","Complaint","Zoning-Miscellaneous","New","GID - 03062169 - SMR""Planters blocking the sidewalk""",
"09/01/2020","CE-0512017","Complaint","Building-Unpermitted Work","New","GID 03063199-RKL-Construction site unable to provide permit, which I understand is expired. Foreman claims City gave them permission to cut down trees.",
"09/01/2020","CE-0512016","Complaint","Building-Underground Electrical","New","Online - SMR""UUP Project 1YElectrical service riser needs to be secured to the building""",
"09/01/2020","CE-0512015","Complaint","Noise-Barking Dogs","Closed -Alternative Compliance","GID - 03059864 - SMR""Dog barking incessantly during early morning hours""",
"09/01/2020","CE-0512014","Complaint","Zoning-Sidewalk Cafe","New","GID - 03059217 - SMR""Pb shoreclub outside patio is obstructing stop sign, hazard to pedestrian traffic""",
"09/01/2020","CE-0512013","Complaint","Building-Unpermitted Work","New","Online-RKL-4 Houses on a single family dwelling",
"09/01/2020","CE-0512012","Complaint","Building-Unpermitted Work","Active Investigation","Online - SMR""has broken up sidewalks to park their vehicles on City sidewalks and block the right away of the public, this is not prohibited. We are asking you to come out and reverse whatever you permitted. This house has never had a driveway, parking has been an issue in our community and breaking sidewalks makes it worse.""",
"09/01/2020","CE-0512011","Complaint","Building-Unpermitted Work","Active Investigation","Online - SMR"":They try to break the sidewalks for a drive-way and its getting out of control!! Please stop allowing owners and tenants to break city sidewalks for the purpose of creating a driveway, as it is our neighborhood is over populated with too many apartments and parking is difficult to find.",
"09/01/2020","CE-0512010","Complaint","Building-Miscellaneous","New","Online-RKL-.  It appears that the garage door, when open, is in the way of traffic. The garage itself is at an odd angle. It was in the small alley north of Gravilla Street.The address is 234 Gravilla St. La Jolla CA 92037 (garage door in the alley).I wanted to see if this is not to code or not.  I took pictures, and it does look like the garage door sticks out into the alley. That being said - he gave me a quote to fix for over $7000 and I don't think it is my fault, based on how far the door goes into the alley when open.",
"09/01/2020","CE-0512009","Complaint","Building-Unpermitted Work","New","Online - SMR""Non permitted roof replacement, addition to the house, water heater (external), possibly more. Please add to the case that there is interior work also being done (today they are jackhammering inside).""",
"09/01/2020","CE-0512008","Complaint","Zoning-Fence Violation","New","Online - SMR""Construction of an overheight wall in street setback and possible in public right of way.I do not have the name of the property owner.  Note this building is near an elementary school and may create an unsafe condition as a lot of parents park in this area.""",
"09/01/2020","CE-0512007","Complaint","Building-Miscellaneous","New","Online-RKL-Apartment is not up to code.  The two bedrooms do not minimum habitable requirements.  Bedroom escape window does not ""meetrequirements: minimum clear opening of 20"" wide, 24"" high, and 5.7 sq. ft., sill height not more than 44"" above the finished floor, strictly enforced.""Each bedroom is not provided heating facilities.",
"09/01/2020","CE-0512006","Complaint","Noise-Barking Dogs","New","Online - SMR""They have one possibly 2 dogs that bark day and night...  From the looks of it they have them tied up with no food and water or shelter. The adults at this house is never home.""",
"09/01/2020","CE-0512005","Complaint","Noise-Other Offensive Noise","New","Online - SMR""ROOSTERS IN YARD WAKE US UP EVERY MORNING 6AM""",
"08/31/2020","CE-0512004","Complaint","Zoning-Fence Violation","New","GID - 03059285 - SMR""Front yard fence greater than 36"" tall. Code violation.""",
"08/31/2020","CE-0512003","Complaint","Zoning-Abandoned Properties","New","Email Referral-RKL-vacant lot with nuisance conditions",
"08/31/2020","CE-0512002","Complaint","Building-Mold","New","Online - MD3 ""There has been a chronic issue with water leaks on the apartment on top, this has led to water damage on several occasions. There is water damage on the inside and outside of the apartment.  The issue has always been partially fixed. Due to it being an ongoing issue we have mold and the paint is peeling on various parts of the ceiling and also leads to the smell of humidity. We have reported this issue to the landlord but he did not properly repair the issue. They came and scraped and repainted the walls but the new paint continues to peel off and fall around the apartment. We have contacted the landlord about the issue but he refuses to make any more repairs. We have continued to pay our rent in time but he will not repair the problem. Talking to the neighbors I have found out that a few of them also have the same issues with water damage but are not comfortable asking for repairs for fear of getting their rent raised or of being asked to move out of their apartments.""",
"08/31/2020","CE-0512001","Complaint",,"New","Online - SMR""Dog barking several times a day, every day, and most days after condo quiet hours 10 pm.""",
"08/31/2020","CE-0512000","Complaint","Zoning-Miscellaneous","Active Investigation","Online - SMR""The neighbor above use has cleared all brush and trees from the lower portion of the property and on a City of san diego Easement. We are down hill neighbors that have live in this area since 1976 are very concerned about the winter rains and Mud flow down to our homes onto our private driveway that serves 6 homes. Also they are building a fence with No Permit on City Water and sewer easement . We the neighbors living below are very concerned of No proper drainage being installed Now that there is no foliage to restrict water flow coming down hill. We must try to stop work as soon as possible .""",
"08/31/2020","CE-0511999","Complaint","Zoning-Parking in Front Yard","Closed -Alternative Compliance","Online - MD3 ""parking cockeyed in driveway, blocking sidewalk""",
"08/31/2020","CE-0511998","Complaint","Zoning-Parking in Front Yard","Closed -Alternative Compliance","Online - MD3 ""parking illegally off driveway""",
"08/31/2020","CE-0511997","Complaint","Zoning-Abandoned Properties","Active Investigation","GID - 03052712 - SMR""Abandoned burned down house""",
"08/31/2020","CE-0511996","Complaint","Building-Unpermitted Work","New","Online - SMR""We have observed contractor trucks in driveway and on street, saws in driveway, and general construction noises (hammers/saws/etc) for about a week.  I just ran the address through OpenDSD and confirmed there are no active permits that would explain the activity.""",
"08/31/2020","CE-0511995","Complaint","Zoning-Miscellaneous","New","Online - MD3 ""We had a huge mudslide during the rain in April/May and were looking for someone to build a retaining wall to stabilize mud patch.The contractor told us that other neighbors built right up to our drainage swale and asked if they had an easement for that. That likely contributes to our huge mud slide. Please look into it for us. Thank you!""",
"08/31/2020","CE-0511994","Complaint","Zoning-Fence Violation","New","Online - SMR""New fence is too high. They used slats to try to get around the rules but the slats cover the view into the yard 95%.""",
"08/31/2020","CE-0511993","Complaint","Zoning-Miscellaneous","New","Online - MD3 ""Numerous LOUD power tools.  Son recently moved home and brought a garage full of power tools, a large air compressor and an old car to restore. He works on this car along with others most every day with all kind of pneumatic tools, grinders, sanders, etc.  Sometimes it goes on over4-6 hours. XXXXXX """,
"08/31/2020","CE-0511992","Complaint","Zoning-Parking in Front Yard","Closed -Alternative Compliance","Online - SMR""parking parallel in driveway""",
"08/31/2020","CE-0511991","Complaint","Zoning-Parking in Front Yard","Closed -Alternative Compliance","Online - SMR""parking on lawn""",
"08/31/2020","CE-0511990","Complaint","Zoning-Storage/Hoarding","Active Investigation","Online - SMR""illegal storage on front yard - couch and table""",
"08/31/2020","CE-0511989","Complaint","Zoning-Storage/Hoarding","New","Online - SMR""there is much “stuff” in the front and side of the house accumulated for several years causing an unsafe and unhealthy condition, including a fire risk to the whole block which is surrounded by overgrown brush canyons""",
"08/31/2020","CE-0511988","Complaint","Zoning-Sidewalk Cafe","New","Online - MD3 ""Flicks bar is having very loud music outdoors everyday all day until eleven pm, or midnight . this bar do not have kitchen inside but they deliver tacos from a restaurant in the neighborhood. With the loud base outdoors makes it impossible for me to stay home. I am loosing sleep, and failing my classes because they are playing music until midnight in the parking lot making it like a night club style which is facing my room directly. I am asking for this issue to be investigated and possibly for the outdoor base to be removed.""",
"08/31/2020","CE-0511987","Complaint","Zoning-Unpermitted Business (Residential Zone)","New","Online - MD3 ""Unsure if owner or tenants lives in house.Appears to be a ‘chop shop’. Lots of traffic, lots of cars, orange traffic cones in street affecting traffic. Canapys set up to accommodate activity.""",
"08/31/2020","CE-0511986","Complaint","Building-Infestation","Active Investigation","Online - MD3 ""Bedbug infestation, leasing office claimed we brought them in in July, when we found them and reported. We found out this week our neighbor also got them in June, and the property managers are not disclosing other apartments in the same building have them, and  are blaming each tenet and we are lying for pest control. The property managers are not spraying adjoining apartments so the bugs are coming back. It’s a safety issue and we just want the bugs gone.""",
"08/31/2020","CE-0511985","Complaint","Zoning-Unpermitted Business (Residential Zone)","New","Online - SMR""Building is being used as an unpermited intermediate care facility.""",
"08/31/2020","CE-0511984","Complaint","Building-Infestation","Active Investigation","Online - MD3 ""I've had roaches infested in my apartment for over one year""",
"08/31/2020","CE-0511983","Complaint","Building-Miscellaneous","New","Online - SMR""CITED FOR RACKS ABOVE 5’ 9” BY SDFD""",
"08/28/2020","CE-0511982","Complaint","Building-Infestation","New","Online-RKL- Cockroaches",
"08/28/2020","CE-0511981","Complaint","Zoning-Storage/Hoarding","Active Investigation","Phone-RKL-Excessive Storage and Hoarding, rats beginning to show up.",
"08/28/2020","CE-0511980","Complaint","Building-Unpermitted Work","Active Investigation","Online-RKL-room addition, no permits, not up to code, health hazards building defect in foundation, never remediated continue to rent out knowing its not up to code and knowing that it presents a health and safety issue",
"08/28/2020","CE-0511979","Complaint","Building-Unpermitted Work","New","Online-RKL-Illegal living room extension without a permit.",
"08/28/2020","CE-0511978","Complaint","Zoning-Sidewalk Cafe","New","Email Referral-RKL-Illegal Sidewalk café. (Deck and sun shade)",
"08/28/2020","CE-0511977","Complaint","Building-Unpermitted Work","New","Online - SMR""Property has multiple unpermitted additions. Basement is being used as a studio that is rented out.""",
